,id,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,release_date,speechiness,tempo,valence,year,duration-min,popularity,release_month
0,2015,0.9490000000000001,0.235,0.0276,0,0.139125,5,0.4857,-24.282749999999997,1,1947-01-01,0.0381,110.838,0.0398,1947,3.0,1,1
1,15901,0.855,0.456,0.485,0,0.0884,4,0.151,-10.046,1,2020-11-13,0.0437,152.066,0.8590000000000001,2020,2.4,2,11
2,9002,0.8270000000000001,0.495,0.499,0,0.0,0,0.401,-8.009,0,1950-01-01,0.0474,108.00399999999999,0.7090000000000001,1950,2.6,1,1
3,6734,0.654,0.643,0.469,0,0.10800000000000001,7,0.218,-15.917,1,1974-04-30,0.0368,83.63600000000001,0.9640000000000001,1974,2.4,2,4
4,15563,0.738,0.705,0.311,0,0.0,5,0.322,-12.344000000000001,1,1973-01-01,0.0488,117.26,0.785,1973,3.4,3,1
5,14384,0.898,0.498,0.442,0,0.0031899999999999997,10,0.0974,-9.481,1,1968-01-01,0.0337,109.619,0.355,1968,2.6,2,1
6,954,0.259,0.62,0.758,0,0.00132,5,0.41600000000000004,-8.183,1,1942-11-13,0.0343,119.258,0.912,1942,2.4,1,11
7,5930,0.124,0.879,0.628,1,0.0,1,0.0661,-6.667999999999999,0,2005-01-01,0.1452,150.105,0.721,2005,3.5,3,1
8,11900,0.149,0.6970000000000001,0.184,1,0.0,2,0.0763,-23.303,0,1945-01-01,0.1452,133.997,0.613,1945,1.6,1,1
9,14498,0.47,0.5870000000000001,0.5660000000000001,0,0.0,9,0.0644,-9.932,1,1999-01-01,0.0276,76.054,0.529,1999,6.650000000000001,4,1
10,2411,0.02,0.6709999999999999,0.8079999999999999,0,0.0,2,0.134,-4.861000000000001,0,2011-09-16,0.0652,121.956,0.637,2011,3.4,4,9
11,13448,3.3600000000000004e-05,0.496,0.8340000000000001,0,0.0344,2,0.127,-6.626,0,2018-12-14,0.0521,131.998,0.484,2018,1.5,1,12
12,5068,0.0878,0.628,0.685,0,0.0136,7,0.0542,-14.747,1,1969-01-11,0.035,134.32399999999998,0.813,1969,3.4,2,1
13,12068,0.624,0.66,0.746,0,1.49e-06,11,0.4857,-7.696000000000001,0,1980-01-01,0.04,123.74700000000001,0.797,1980,4.1,3,1
14,6431,0.426,0.615,0.831,0,7.26e-05,1,0.184,-9.394,1,1988-01-01,0.0311,135.114,0.914,1988,3.2,3,1
